state,sat_takers_2019,high_school_graduates_2019,sat_participation_rate_2019,source_2019,sat_takers_2018,high_school_graduates_2018,sat_participation_rate_2018,source_2018,sat_takers_2017,high_school_graduates_2017,sat_participation_rate_2017,source_2017
Tennessee,"4,374","67,268",7%,https://reports.collegeboard.org/pdf/2019-tennessee-sat-suite-assessments-annual-report.pdf,"4,181","67,863",6%,https://reports.collegeboard.org/pdf/2018-tennessee-sat-suite-assessments-annual-report.pdf,"3,495","67,044",5%,https://reports.collegeboard.org/pdf/2017-tennessee-sat-suite-assessments-annual-report.pdf
Texas,"236,665","348,578",68%,https://reports.collegeboard.org/pdf/2019-texas-sat-suite-assessments-annual-report.pdf,"226,374","341,613",66%,https://reports.collegeboard.org/pdf/2018-texas-sat-suite-assessments-annual-report.pdf,"204,409","328,451",62%,https://reports.collegeboard.org/pdf/2017-texas-sat-suite-assessments-annual-report.pdf
Utah,"1,506","39,100",4%,https://reports.collegeboard.org/pdf/2019-utah-sat-suite-assessments-annual-report.pdf,"1,425","38,706",4%,https://reports.collegeboard.org/pdf/2018-utah-sat-suite-assessments-annual-report.pdf,"1,277","37,874",3%,https://reports.collegeboard.org/pdf/2017-utah-sat-suite-assessments-annual-report.pdf
Vermont,"4,373","6,676",66%,https://reports.collegeboard.org/pdf/2019-vermont-sat-suite-assessments-annual-report.pdf,"4,323","6,777",64%,https://reports.collegeboard.org/pdf/2018-vermont-sat-suite-assessments-annual-report.pdf,"4,303","7,160",60%,https://reports.collegeboard.org/pdf/2017-vermont-sat-suite-assessments-annual-report.pdf
Virgin Islands,NA,,,https://reports.collegeboard.org/pdf/2019-virgin-islands-sat-suite-assessments-annual-report.pdf,NA,,,https://reports.collegeboard.org/pdf/2018-virgin-island-sat-suite-assessments-annual-report.pdf,NA,,,https://reports.collegeboard.org/pdf/2017-virgin-island-sat-suite-assessments-annual-report.pdf
Virginia,"61,182","90,213",68%,https://reports.collegeboard.org/pdf/2019-virginia-sat-suite-assessments-annual-report.pdf,"61,576","90,456",68%,https://reports.collegeboard.org/pdf/2018-virginia-sat-suite-assessments-annual-report.pdf,"57,453","87,930",65%,https://reports.collegeboard.org/pdf/2017-virginia-sat-suite-assessments-annual-report.pdf
Washington,"49,630","70,411",70%,https://reports.collegeboard.org/pdf/2019-washington-sat-suite-assessments-annual-report.pdf,"48,574","70,307",69%,https://reports.collegeboard.org/pdf/2018-washington-sat-suite-assessments-annual-report.pdf,"43,911","68,668",64%,https://reports.collegeboard.org/pdf/2017-washington-sat-suite-assessments-annual-report.pdf
West Virginia,"17,298","17,446",99%,https://reports.collegeboard.org/pdf/2019-west-virginia-sat-suite-assessments-annual-report.pdf,"5,058","17,815",28%,https://reports.collegeboard.org/pdf/2018-west-virginia-sat-suite-assessments-annual-report.pdf,"2,406","17,477",14%,https://reports.collegeboard.org/pdf/2017-west-virginia-sat-suite-assessments-annual-report.pdf
Wisconsin,"1,969","65,549",3%,https://reports.collegeboard.org/pdf/2019-wisconsin-sat-suite-assessments-annual-report.pdf,"1,923","66,246",3%,https://reports.collegeboard.org/pdf/2018-wisconsin-sat-suite-assessments-annual-report.pdf,"1,780","65,189",3%,https://reports.collegeboard.org/pdf/2017-wisconsin-sat-suite-assessments-annual-report.pdf
Wyoming,156,"5,864",3%,https://reports.collegeboard.org/pdf/2019-wyoming-sat-suite-assessments-annual-report.pdf,169,"5,820",3%,https://reports.collegeboard.org/pdf/2018-wyoming-sat-suite-assessments-annual-report.pdf,144,"5,744",3%,https://reports.collegeboard.org/pdf/2017-wyoming-sat-suite-assessments-annual-report.pdf
