date,daily_return
2020-01-02,0.00768577834053561
2020-01-03,-0.0006457981722531086
2020-01-06,0.0006526618214879914
2020-01-07,-0.001268828246069139
2020-01-08,-0.0008939550061830982
2020-01-09,0.0015984101671744893
2020-01-10,0.0016462109408529899
2020-01-13,0.004724375246773042
2020-01-14,-0.0012742190949239186
2020-01-15,-0.002195255741032828
2020-01-16,0.0012947446853418753
2020-01-17,0.00270925960570557
2020-01-21,-0.005504857415895691
2020-01-22,0.0002961391514841333
2020-01-23,-0.0002983246598810374
2020-01-24,-0.0027387161892951047
2020-01-27,0.00015747930147984714
2020-01-28,0.001326923582371681
2020-01-29,0.0016507771366851265
2020-01-30,-0.004186257103255791
2020-01-31,-0.004092194767706054
2020-02-03,0.004694099261721482
2020-02-04,0.005134552295131349
2020-02-05,0.002449977096576684
2020-02-06,0.00198732071582722
2020-02-07,-0.0027167043690369957
2020-02-10,0.0021140279276588374
2020-02-11,0.0016130845628401385
2020-02-12,0.0020528288281320118
2020-02-13,0.001338505244017851
2020-02-14,0.0013227212539246376
2020-02-18,0.0008001396001210914
2020-02-19,0.0034024181658516193
2020-02-20,-0.0021121302158122824
2020-02-21,0.0008527234708531828
2020-02-24,-0.004580721578453707
2020-02-25,-0.00916780423407029
2020-02-26,-0.0012391364063369919
2020-02-27,-0.008988306434926877
2020-02-28,-0.00540530078362194
2020-03-02,0.05029585597589129
2020-03-03,-0.0006046298670259785
2020-03-04,0.008365968695296693
2020-03-05,-0.005050214031617602
2020-03-06,-0.002663537397161209
2020-03-09,-0.02543700966634905
2020-03-10,0.002156831469038966
2020-03-11,-0.018692650542406188
2020-03-12,-0.03940350543944675
2020-03-13,0.01664312935683444
2020-03-16,-0.03488949904488378
2020-03-17,0.009958044283099713
2020-03-18,-0.04407172112750307
2020-03-19,0.007781745389556188
2020-03-20,-0.00894303062080818
2020-03-23,-0.00440600762507473
2020-03-24,0.036323223180431935
2020-03-25,0.00806154816612769
2020-03-26,0.010459263072124542
2020-03-27,-0.019677271094019278
2020-03-30,0.011544128406450641
2020-03-31,-0.005637429647241918
2020-04-01,-0.02118410242847142
2020-04-02,0.01544611979833494
2020-04-03,-0.0016275522004394242
2020-04-06,0.01108290786076705
2020-04-07,0.001178031933412758
2020-04-08,0.002288183451594342
2020-04-09,0.007331636768518036
2020-04-13,-0.0035450553524282577
2020-04-14,0.009325846142974787
2020-04-15,-0.0058416232433900666
2020-04-16,0.0027429039392710755
2020-04-17,0.00359791606068863
2020-04-20,-0.003922204642826662
2020-04-21,-0.0058051425491391865
2020-04-22,0.010775981077324935
2020-04-23,0.0003694148339645752
2020-04-24,0.0005869247831660377
2020-04-27,0.0017172050256342533
2020-04-28,-0.001659819298668051
2020-04-29,0.013396594467319618
2020-04-30,0.0018358711829848402
2020-05-01,-0.008982698416449435
2020-05-04,0.003780744508507068
2020-05-05,0.0015444579269046667
2020-05-06,-0.00548778202221762
2020-05-07,0.004350508356747055
2020-05-08,0.005970806862065011
2020-05-11,-0.002586319500829361
2020-05-12,-0.0034891379086681865
2020-05-13,-0.0016309325626311499
2020-05-14,0.0055102117554877515
2020-05-15,-0.0014360860998968825
2020-05-18,0.01271413412283113
2020-05-19,-0.0006822115947408077
2020-05-20,0.008214301874384333
2020-05-21,-0.004679118637326845
2020-05-22,-0.0005837915158433797
2020-05-26,0.0037111802238701643
2020-05-27,-0.002444604171779303
2020-05-28,0.0006338167235267849
2020-05-29,0.0068611300824283385
2020-06-01,0.004975404727269478
2020-06-02,0.0046167026479362605
2020-06-03,-0.002221127280931844
2020-06-04,-0.0031187141253335294
2020-06-05,0.006749842794805491
2020-06-08,0.0026632356737399812
2020-06-09,0.0011631048040034037
2020-06-10,0.0033744612208902224
2020-06-11,-0.011023030459267297
2020-06-12,0.005008266426728875
2020-06-15,0.001270864264225683
2020-06-16,0.0022026751955135666
2020-06-17,0.0020161965978215133
2020-06-18,0.0002712152467305401
2020-06-19,0.00013885298305781123
2020-06-22,0.004979919629695968
2020-06-23,0.0009456972651988446
2020-06-24,-0.007424497093827099
2020-06-25,0.0018856616434620957
2020-06-26,-0.0063473687649101
2020-06-29,0.002106396401069739
2020-06-30,0.0013619772133054188
2020-07-01,0.003627855975427546
2020-07-02,0.004283222978077839
2020-07-06,0.009200243854123356
2020-07-07,-0.001378593135162321
2020-07-08,0.0049106826475347615
2020-07-09,-0.00016571871545838928
2020-07-10,-0.0013762707706989107
2020-07-13,-0.002860416314912881
2020-07-14,0.0005146035421032957
2020-07-15,0.0038312093678973358
2020-07-16,-5.7600466175517775e-06
2020-07-17,0.0012278069922468382
2020-07-20,0.003514060393176037
2020-07-21,0.005279877432491182
2020-07-22,0.0016679775907404043
2020-07-23,-0.001437283486387692
2020-07-24,-0.00012980454588925342
2020-07-27,0.005480489275841596
2020-07-28,-0.0005857676520160469
2020-07-29,0.006665260015734943
2020-07-30,-0.004403657337793878
2020-07-31,0.0003441829458922075
2020-08-03,0.002693768892243162
2020-08-04,0.004963332126646191
2020-08-05,0.008211801974554692
2020-08-06,0.0038427608987441496
2020-08-07,-0.008139979959404874
2020-08-10,0.0023302481183278927
2020-08-11,-0.007980467016700691
2020-08-12,0.0029070087435447045
2020-08-13,0.00012468233028595894
2020-08-14,-0.00033126628030498786
2020-08-17,0.007204635407328028
2020-08-18,0.0019473542637229912
2020-08-19,-0.004712185404228564
2020-08-20,-0.0033071290188555038
2020-08-21,0.0006697094347294473
2020-08-24,0.004830504424112512
2020-08-25,-0.001970692317919552
2020-08-26,0.003187200768093943
