date,AGG,COM,CSH,EEM,GLD,IEF,LOV,SNP
2020-01-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.16154541075229645,0.16154541075229645,0.16154541075229645,0.05942923203110695,0.07341443747282028,0.16154541075229645,0.16154541075229645,0.05942923203110695
2020-01-06,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.18276464939117432
2020-01-07,0.1914377063512802,0.07042599469423294,0.1439829170703888,0.07042599469423294,0.07042599469423294,0.1914377063512802,0.07042599469423294,0.1914377063512802
2020-01-08,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.18276464939117432
2020-01-09,0.19471682608127594,0.07163231074810028,0.19471682608127594,0.07163231074810028,0.07163231074810028,0.19471682608127594,0.07163231074810028,0.12932029366493225
2020-01-10,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-13,0.2059684693813324,0.07577155530452728,0.2059684693813324,0.07577155530452728,0.07577155530452728,0.2059684693813324,0.07577155530452728,0.07900837808847427
2020-01-14,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-15,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-16,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-17,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-21,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-22,0.17567895352840424,0.06462866812944412,0.17567895352840424,0.06462866812944412,0.06462866812944412,0.17567895352840424,0.17567895352840424,0.1033981516957283
2020-01-23,0.18007516860961914,0.06624595075845718,0.18007516860961914,0.06624595075845718,0.06624595075845718,0.18007516860961914,0.18007516860961914,0.08096151053905487
2020-01-24,0.17937876284122467,0.06598975509405136,0.17937876284122467,0.06598975509405136,0.06598975509405136,0.17937876284122467,0.17937876284122467,0.08451571315526962
2020-01-27,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-28,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-29,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-30,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-01-31,0.18276464939117432,0.06723535060882568,0.18276464939117432,0.06723535060882568,0.06723535060882568,0.18276464939117432,0.18276464939117432,0.06723535060882568
2020-02-03,0.10123547911643982,0.10123547911643982,0.10123547911643982,0.10123547911643982,0.10123547911643982,0.11740057915449142,0.10123547911643982,0.27518656849861145
2020-02-04,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-05,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-06,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-07,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-10,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-11,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-12,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-13,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-14,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-18,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-19,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-20,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
2020-02-21,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.060272153466939926,0.16383671760559082,0.16383671760559082,0.16383671760559082,0.060272153466939926
