,date,daily_return
0,2020-01-02,0.0
1,2020-01-03,0.001470487064457514
2,2020-01-06,0.0013148360543640708
3,2020-01-07,-0.0011375440515980079
4,2020-01-08,0.00017261285174609525
5,2020-01-09,3.751088899325893e-05
6,2020-01-10,0.0015811164060572937
7,2020-01-13,0.0006790513703863554
8,2020-01-14,-0.0005556214805367784
9,2020-01-15,-0.0003417690375189346
10,2020-01-16,-0.00013387594842787821
11,2020-01-17,0.0013282103797839881
12,2020-01-21,-0.003357886751463782
13,2020-01-22,-0.00032002545972540503
14,2020-01-23,-0.0006165695437903148
15,2020-01-24,-0.0016749763679542657
16,2020-01-27,-0.0054482638272833304
17,2020-01-28,0.00032289160532244837
18,2020-01-29,0.0011313998594185716
19,2020-01-30,-0.00155855347505016
20,2020-01-31,-0.0026306197978876646
21,2020-02-03,0.010867082049423868
22,2020-02-04,-0.0003937476763480861
23,2020-02-05,0.0012906219191624712
24,2020-02-06,0.0018287521554690325
25,2020-02-07,-0.00018084693104112085
26,2020-02-10,0.0009979061891423999
27,2020-02-11,0.00035552531595333346
28,2020-02-12,0.0006331141868186393
29,2020-02-13,0.00020837550253158152
30,2020-02-14,0.001435958501020824
31,2020-02-18,0.0021456592476021257
32,2020-02-19,0.002837712623844576
33,2020-02-20,-0.00016624995955271635
34,2020-02-21,0.0026240637562934253
35,2020-02-24,-0.00190652516874618
36,2020-02-25,-0.004837593074595754
37,2020-02-26,-0.0021834939907048496
38,2020-02-27,-0.003906699911309622
39,2020-02-28,-0.00533062666326853
40,2020-03-02,0.03028190721912347
41,2020-03-03,0.002106841939541445
42,2020-03-04,0.015584657493636892
43,2020-03-05,-0.002055577904923107
44,2020-03-06,-0.0020242769693328538
45,2020-03-09,-0.0210976252407393
46,2020-03-10,0.016923178295723235
47,2020-03-11,-0.017667106349580262
48,2020-03-12,-0.05022409315371547
49,2020-03-13,0.023373091787026703
50,2020-03-16,-0.05205694290896023
51,2020-03-17,0.017983112216069574
52,2020-03-18,-0.033948186775806355
53,2020-03-19,0.008885601677941442
54,2020-03-20,0.0015640228415994281
55,2020-03-23,0.0009147261083919285
56,2020-03-24,0.02109609748665562
57,2020-03-25,0.005410156920690753
58,2020-03-26,0.009307226723744146
59,2020-03-27,-0.019315476332851966
60,2020-03-30,0.007293504910433516
61,2020-03-31,-0.0027781138545758563
62,2020-04-01,-0.021182531690952276
63,2020-04-02,0.014815272370676806
64,2020-04-03,-0.004270757420081981
65,2020-04-06,0.019716655168556328
66,2020-04-07,0.0016325397176237108
67,2020-04-08,0.0043908989795049345
68,2020-04-09,0.005750370052330206
69,2020-04-13,-0.0019389905731933951
70,2020-04-14,0.006081442113989952
71,2020-04-15,-0.002868623410479958
72,2020-04-16,0.0016935507715469663
73,2020-04-17,-0.0009605671174780588
74,2020-04-20,-0.0023155330882028364
75,2020-04-21,-0.006161857926153707
76,2020-04-22,0.00807130456711571
77,2020-04-23,0.0032360476344841568
78,2020-04-24,-0.0029404248147152268
79,2020-04-27,0.0003404056583310789
80,2020-04-28,-0.0017550418832045108
81,2020-04-29,0.005936546337144899
82,2020-04-30,0.0001403664745228591
83,2020-05-01,-0.005992274427107945
84,2020-05-04,0.0036048966531761553
85,2020-05-05,0.002046985181800285
86,2020-05-06,-0.0041264953005414
87,2020-05-07,0.004651432712336493
88,2020-05-08,0.004176302482373995
89,2020-05-11,-0.001776302888510336
90,2020-05-12,-0.0014084195363609677
91,2020-05-13,-0.004821368960697099
92,2020-05-14,0.005282650416385845
93,2020-05-15,-2.114417712767994e-05
94,2020-05-18,0.006086367936433401
95,2020-05-19,8.499214479584447e-05
96,2020-05-20,0.003717455048003104
97,2020-05-21,-0.006081628450481946
98,2020-05-22,-0.0006509517274298042
99,2020-05-26,0.004652081226789976
100,2020-05-27,-0.00010586391172477108
101,2020-05-28,0.00026942535326476337
102,2020-05-29,0.005248137460435802
103,2020-06-01,0.002489089130358106
104,2020-06-02,0.003672473339784311
105,2020-06-03,-6.721863306004576e-05
106,2020-06-04,-0.002368843916721408
107,2020-06-05,0.001553801396085651
108,2020-06-08,0.0017830591080554169
109,2020-06-09,0.0009407164078656594
110,2020-06-10,0.002876462757978903
111,2020-06-11,-0.010235933774482573
112,2020-06-12,0.0012745675154804414
113,2020-06-15,-0.0019688428106162713
114,2020-06-16,0.0019484713927695643
115,2020-06-17,0.001164380172054954
116,2020-06-18,0.00033335982814213167
117,2020-06-19,0.0015778699674777173
118,2020-06-22,0.004088903942731087
119,2020-06-23,0.001037673304253082
120,2020-06-24,-0.005908169597913283
121,2020-06-25,0.0011361149185028776
122,2020-06-26,-0.0029050794628854453
123,2020-06-29,0.0051015437957247015
124,2020-06-30,0.0025557121765077432
125,2020-07-01,0.002993821325349804
126,2020-07-02,0.0036490532279079184
127,2020-07-06,0.005102714094333817
128,2020-07-07,-0.0011571531771813989
129,2020-07-08,0.003947422121169462
130,2020-07-09,-8.116214137539383e-05
131,2020-07-10,-0.0007818455295198327
132,2020-07-13,-0.0016775625046707577
133,2020-07-14,0.002781472927409493
134,2020-07-15,0.0019147801969154163
135,2020-07-16,-0.002153702268824228
136,2020-07-17,0.0010373540928214331
137,2020-07-20,0.003027336698799721
138,2020-07-21,0.004449334915302374
139,2020-07-22,0.00268281066530085
140,2020-07-23,0.00027541745256425454
141,2020-07-24,0.0004474260228247971
142,2020-07-27,0.004227609255545183
143,2020-07-28,-0.00034816995137564586
144,2020-07-29,0.0037666467855170796
145,2020-07-30,-0.000896927294948905
146,2020-07-31,0.0013949399705716695
