date,daily_return
2020-01-02,0.0
2020-01-03,0.0020679304383377506
2020-01-06,0.0019709943112264927
2020-01-07,-0.0015942986766515066
2020-01-08,-0.0011768640498265315
2020-01-09,4.8080824540885914e-05
2020-01-10,0.0015458925873201856
2020-01-13,6.705661337735869e-05
2020-01-14,0.0002297062342133671
2020-01-15,0.0009895509102562094
2020-01-16,0.0005230001910725424
2020-01-17,0.0006571385651523709
2020-01-21,-0.000548759147537492
2020-01-22,0.0001086190616435001
2020-01-23,0.000690171823165775
2020-01-24,-0.0012102436620793355
2020-01-27,-0.0010465191699381426
2020-01-28,0.00012396401119119105
2020-01-29,0.0013758040696683072
2020-01-30,-0.000566665495842833
2020-01-31,-0.0008491685596822007
2020-02-03,-0.000808850471578082
2020-02-04,-0.0008072617860767073
2020-02-05,0.0007223576919959118
2020-02-06,0.0019520055438204675
2020-02-07,0.0016560710557711467
2020-02-10,0.001323017480253652
2020-02-11,-0.0002113160989625218
2020-02-12,0.0011423031145680884
2020-02-13,0.0008092968531858702
2020-02-14,0.001863651493660301
2020-02-18,0.0019386242665799802
2020-02-19,0.0025315534940666407
2020-02-20,0.0008617614805881413
2020-02-21,0.0018191193056358301
2020-02-24,-0.003090313909598019
2020-02-25,-0.005590695320041306
2020-02-26,-0.002546143497653919
2020-02-27,-0.0055857856424406105
2020-02-28,-0.0007553803830572248
2020-03-02,0.007570328944781046
2020-03-03,0.004809808869475907
2020-03-04,0.006379132176476343
2020-03-05,-0.00019544227877354992
2020-03-06,0.0015512273083695405
2020-03-09,-0.01373147766855054
2020-03-10,-0.00270131574887289
2020-03-11,-0.015736802947271866
2020-03-12,-0.03279137515599262
2020-03-13,0.0034955540615870806
2020-03-16,0.0010616411324002595
2020-03-17,-0.01637975990825946
2020-03-18,-0.02912001881515891
2020-03-19,0.006754133490643799
2020-03-20,0.014241419223429475
2020-03-23,0.00748824776433632
2020-03-24,0.010428070682082957
2020-03-25,0.00218135150818477
2020-03-26,0.008143635725301523
2020-03-27,0.000788368178406218
2020-03-30,0.0015531170935467742
2020-03-31,-0.0015354697813662055
2020-04-01,-0.006452957254684422
2020-04-02,0.00640896866104268
2020-04-03,0.001175317555804023
2020-04-06,0.005450207394485762
2020-04-07,-0.0028230419821350106
2020-04-08,0.0023964930492628156
2020-04-09,0.003805051464609077
2020-04-13,-0.002990330308912159
2020-04-14,0.0034346900552899573
2020-04-15,0.0010405330542802016
2020-04-16,0.0016452829530941848
2020-04-17,-0.0014001292218163153
2020-04-20,-0.0003948389055908885
2020-04-21,-0.0062841795079312535
2020-04-22,0.0033321506224739394
2020-04-23,0.001924318284101112
2020-04-24,-0.001235412851983697
2020-04-27,-0.00484344764490463
2020-04-28,0.002490967552998269
2020-04-29,0.002180720920981205
2020-04-30,0.00017370195930088705
2020-05-01,-0.001609338413021022
2020-05-04,0.0018011746067092549
2020-05-05,0.0026961647074434936
2020-05-06,-0.005408041168061928
2020-05-07,0.00600281273248382
2020-05-08,-0.0008039491816594913
2020-05-11,-0.003414448329479014
2020-05-12,0.0007948388703720166
2020-05-13,-0.0013015774330221719
2020-05-14,0.004383680988716554
2020-05-15,0.0009793516368548083
2020-05-18,0.0011228664304328007
2020-05-19,0.0017369725485290033
2020-05-20,0.0027193704601540247
2020-05-21,-0.0017859236293079617
2020-05-22,0.0008752730928480723
2020-05-26,-0.00024058694783646306
2020-05-27,-0.0006845357644215122
2020-05-28,0.0001324568826024386
2020-05-29,0.004525302171078716
2020-06-01,-0.00017985531475528393
2020-06-02,0.0007059223306891127
2020-06-03,-0.0037623541300475516
2020-06-04,-0.0021692242237961734
2020-06-05,-0.0007430046947699553
2020-06-08,0.001538275275262846
2020-06-09,0.002555570520351047
2020-06-10,0.005363171722642779
2020-06-11,-0.0031444994221049294
2020-06-12,-0.0010982781158812571
2020-06-15,0.00015557893168072212
2020-06-16,0.00024035994434279395
2020-06-17,0.0007433198935762331
2020-06-18,0.0013743831143440133
2020-06-19,0.0013238720199448828
2020-06-22,0.0011421015880650476
2020-06-23,-6.46717699490651e-05
2020-06-24,-0.002550413330335899
2020-06-25,7.897348322538633e-05
2020-06-26,-0.000245488132868954
2020-06-29,0.004291465215056078
2020-06-30,0.0014873877594643314
2020-07-01,9.970940913639481e-05
2020-07-02,0.0022555707708233896
2020-07-06,0.0013219306286837984
2020-07-07,0.0020880320949425712
2020-07-08,-1.1029719984345654e-05
2020-07-09,0.001291180956417337
2020-07-10,-7.56933664396442e-05
2020-07-13,-0.00030454749302999407
2020-07-14,0.000715412075997568
2020-07-15,0.0014591560279970661
2020-07-16,-7.392872578204646e-05
2020-07-17,0.0001179264265691593
2020-07-20,0.0010397467592282439
2020-07-21,0.002689111286840573
2020-07-22,0.0015521192482776947
2020-07-23,0.0002115724549986986
2020-07-24,-0.0009271092516620616
2020-07-27,9.931132803742138e-05
2020-07-28,0.0013031310685833741
2020-07-29,0.002990076815117426
2020-07-30,-0.0004225743113190905
2020-07-31,0.001644866090184216
2020-08-03,0.0021416505451277157
2020-08-04,0.004036716448859945
2020-08-05,-0.0010281915225167637
2020-08-06,0.0018032773488609877
2020-08-07,-0.002906245323966883
2020-08-10,6.251265601275868e-05
2020-08-11,-0.004966088772436095
2020-08-12,-0.00042121446127452167
2020-08-13,-0.001046124508345847
2020-08-14,0.0003363031914804804
2020-08-17,0.003221699817067991
2020-08-18,0.002220478784738411
2020-08-19,-0.0016663693207131791
2020-08-20,0.0019352503997647208
2020-08-21,0.0005195515417970586
2020-08-24,0.00014717976933731336
